,Lightning_Warnings,Abs_Efield
0,0,31.68846
1,0,23.84491
2,0,23.84614
3,0,23.22135
4,0,23.84927
5,0,24.7907
6,0,21.96644
7,0,21.33883
8,0,19.45599
9,0,16.63174
10,0,17.25935
11,0,17.25935
12,0,21.96644
13,0,22.28025
14,0,23.84928
15,0,25.41831
16,0,32.00824
17,0,30.1254
18,0,36.40153
19,0,32.32205
20,0,41.41975
21,0,40.16136
22,0,32.63061
23,0,36.07954
24,0,43.29089
25,0,39.83993
26,0,39.21254
27,0,46.11394
28,0,47.36874
29,0,58.66195
30,0,50.50574
31,0,63.99269
32,0,65.24494
33,0,62.10326
34,0,60.22168
35,0,59.59337
36,0,51.12485
37,0,62.41863
38,0,64.29796
39,0,50.1839
40,0,46.10613
41,0,37.9513
42,0,36.38306
43,0,35.12848
44,0,33.87389
45,0,36.06942
46,0,32.6193
47,0,30.11012
48,0,34.18754
49,0,28.85448
50,0,29.16605
51,0,31.67765
52,0,31.04727
53,0,27.91181
54,0,27.59955
55,0,29.16796
56,0,31.98917
57,0,28.22477
58,0,30.10643
59,0,28.53843
60,0,32.93176
61,0,24.777
62,0,31.36356
63,0,35.12838
64,0,31.67834
65,0,29.48282
66,0,28.85552
67,0,29.16917
68,0,34.18752
69,0,37.01115
70,0,43.91285
71,0,42.03418
72,0,44.85902
73,0,50.50571
74,0,48.62351
75,0,48.93721
76,0,47.36871
77,0,46.11391
78,0,43.6043
79,0,39.8399
80,0,39.21251
81,0,37.33031
82,0,36.07551
83,0,37.95771
84,0,28.54671
85,0,34.82071
86,0,27.29191
87,0,22.9001
88,0,20.3905
89,0,23.52751
90,0,19.1357
91,0,19.1357
92,0,17.88139
93,0,15.68527
94,0,15.05863
95,0,13.80452
96,0,13.80511
97,0,14.1189
98,0,14.74721
99,0,13.49282
100,0,15.06265
101,0,13.80748
102,0,11.92464
103,0,14.43509
104,0,12.86606
105,0,16.94554
106,0,16.00412
107,0,18.20076
108,0,26.98734
109,0,28.55637
