Date,RH,warnings
2022-01-30 13:30:00,85.0561,0.0
2022-01-30 13:45:00,84.99235,0.0
2022-01-30 14:00:00,83.54052,0.0
2022-01-30 14:15:00,82.30125,0.0
2022-01-30 14:30:00,83.92678,0.0
2022-01-30 14:45:00,82.18018,0.0
2022-01-30 15:00:00,82.43211,0.0
2022-01-30 15:15:00,81.19234,0.0
2022-01-30 15:30:00,79.30286,0.0
2022-01-30 15:45:00,79.20397,0.0
2022-01-30 16:00:00,79.49873,0.0
2022-01-30 16:15:00,79.77551,0.0
2022-01-30 16:30:00,80.68963,0.0
2022-01-30 16:45:00,80.7448,0.0
2022-01-30 17:00:00,82.80254,0.0
2022-01-30 17:15:00,85.5994,0.0
2022-01-30 17:30:00,90.48146,0.0
2022-01-30 17:45:00,95.76191,0.0
2022-01-30 18:00:00,98.35378,0.0
2022-01-30 18:15:00,99.80958,0.0
2022-01-30 18:30:00,99.83879,0.0
2022-01-30 18:45:00,99.80776,0.0
2022-01-30 19:00:00,99.81329,0.0
2022-01-30 19:15:00,99.73028,0.0
2022-01-30 19:30:00,99.78986,0.0
2022-01-30 19:45:00,99.78464,0.0
2022-01-30 20:00:00,99.8923,0.0
2022-01-30 20:15:00,99.78944,0.0
2022-01-30 20:30:00,99.81927,0.0
2022-01-30 20:45:00,99.49432,0.0
2022-01-30 21:00:00,99.4278,0.0
2022-01-30 21:15:00,99.81368,0.0
2022-01-30 21:30:00,99.80035,0.0
2022-01-30 21:45:00,99.79041,0.0
2022-01-30 22:00:00,99.78745,0.0
2022-01-30 22:15:00,99.83171,0.0
2022-01-30 22:30:00,99.79165,0.0
2022-01-30 22:45:00,99.81202,0.0
2022-01-30 23:00:00,99.80682,0.0
2022-01-30 23:15:00,99.82277,0.0
2022-01-30 23:30:00,99.80388,0.0
2022-01-30 23:45:00,99.79803,0.0
2022-01-31 00:00:00,99.78374,0.0
2022-01-31 00:15:00,99.78748,0.0
2022-01-31 00:30:00,99.79071,0.0
2022-01-31 00:45:00,99.78709,0.0
2022-01-31 01:00:00,99.81035,0.0
2022-01-31 01:15:00,99.79593,0.0
2022-01-31 01:30:00,99.85607,0.0
2022-01-31 01:45:00,99.80438,0.0
2022-01-31 02:00:00,99.797,0.0
2022-01-31 02:15:00,99.7859,0.0
2022-01-31 02:30:00,99.78613,0.0
2022-01-31 02:45:00,99.94651,0.0
2022-01-31 03:00:00,99.79756,0.0
2022-01-31 03:15:00,99.81572,0.0
2022-01-31 03:30:00,99.80656,0.0
2022-01-31 03:45:00,99.82391,0.0
2022-01-31 04:00:00,99.83699,0.0
2022-01-31 04:15:00,99.80448,0.0
2022-01-31 04:30:00,99.90924,0.0
2022-01-31 04:45:00,99.80171,0.0
2022-01-31 05:00:00,99.80669,0.0
2022-01-31 05:15:00,99.80898,0.0
2022-01-31 05:30:00,99.83949,0.0
2022-01-31 05:45:00,99.82982,0.0
2022-01-31 06:00:00,99.83949,0.0
2022-01-31 06:15:00,99.87843,0.0
2022-01-31 06:30:00,99.82632,0.0
2022-01-31 06:45:00,99.82682,0.0
2022-01-31 07:00:00,99.83337,0.0
2022-01-31 07:15:00,99.83272,0.0
2022-01-31 07:30:00,99.93945,0.0
2022-01-31 07:45:00,99.85335,0.0
2022-01-31 08:00:00,99.84021,0.0
2022-01-31 08:15:00,99.84185,0.0
2022-01-31 08:30:00,99.85782,0.0
2022-01-31 08:45:00,99.82493,0.0
2022-01-31 09:00:00,99.80911,0.0
2022-01-31 09:15:00,99.81387,0.0
2022-01-31 09:30:00,99.77641,0.0
2022-01-31 09:45:00,96.89977,0.0
2022-01-31 10:00:00,89.12468,0.0
2022-01-31 10:15:00,89.05803,0.0
2022-01-31 10:30:00,83.19231,0.0
2022-01-31 10:45:00,80.46941,0.0
2022-01-31 11:00:00,78.00376,0.0
2022-01-31 11:15:00,72.07271,0.0
2022-01-31 11:30:00,70.52213,0.0
2022-01-31 11:45:00,62.05045,0.0
2022-01-31 12:00:00,60.61227,0.0
2022-01-31 12:15:00,58.45063,0.0
2022-01-31 12:30:00,58.58164,0.0
2022-01-31 12:45:00,56.16487,0.0
2022-01-31 13:00:00,59.22357,0.0
2022-01-31 13:15:00,57.71701,0.0
2022-01-31 13:30:00,54.00751,0.0
2022-01-31 13:45:00,53.91837,0.0
2022-01-31 14:00:00,54.2632,0.0
2022-01-31 14:15:00,51.20473,0.0
2022-01-31 14:30:00,52.85247,0.0
2022-01-31 14:45:00,53.50856,0.0
2022-01-31 15:00:00,54.08374,0.0
2022-01-31 15:15:00,52.82399,0.0
2022-01-31 15:30:00,53.09814,0.0
2022-01-31 15:45:00,54.71533,0.0
2022-01-31 16:00:00,57.18849,0.0
2022-01-31 16:15:00,57.58805,0.0
2022-01-31 16:30:00,57.77627,0.0
2022-01-31 16:45:00,61.05729,0.0
2022-01-31 17:00:00,61.74665,0.0
2022-01-31 17:15:00,63.57954,0.0
2022-01-31 17:30:00,64.49488,0.0
2022-01-31 17:45:00,64.48198,0.0
2022-01-31 18:00:00,65.77007,0.0
2022-01-31 18:15:00,67.00386,0.0
2022-01-31 18:30:00,68.04503,0.0
2022-01-31 18:45:00,68.87668,0.0
2022-01-31 19:00:00,69.92263,0.0
2022-01-31 19:15:00,71.41516,0.0
2022-01-31 19:30:00,70.90424,0.0
2022-01-31 19:45:00,71.68728,0.0
2022-01-31 20:00:00,74.24416,0.0
2022-01-31 20:15:00,75.25145,0.0
2022-01-31 20:30:00,75.67764,0.0
2022-01-31 20:45:00,74.77118,0.0
2022-01-31 21:00:00,73.5319,0.0
2022-01-31 21:15:00,73.7998,0.0
2022-01-31 21:30:00,72.42889,0.0
2022-01-31 21:45:00,75.82182,0.0
2022-01-31 22:00:00,78.66683,0.0
2022-01-31 22:15:00,80.77579,0.0
2022-01-31 22:30:00,82.77751,0.0
2022-01-31 22:45:00,84.72317,0.0
2022-01-31 23:00:00,86.40109,0.0
2022-01-31 23:15:00,88.58748,0.0
2022-01-31 23:30:00,90.17062,0.0
2022-01-31 23:45:00,91.40491,0.0
2022-02-01 00:00:00,93.23004,0.0
2022-02-01 00:15:00,94.83294,0.0
2022-02-01 00:30:00,95.40837,0.0
2022-02-01 00:45:00,96.82045,0.0
2022-02-01 01:00:00,98.37168,0.0
2022-02-01 01:15:00,99.84811,0.0
2022-02-01 01:30:00,99.79903,0.0
2022-02-01 01:45:00,99.80457,0.0
2022-02-01 02:00:00,99.80918,0.0
2022-02-01 02:15:00,99.81383,0.0
2022-02-01 02:30:00,99.82185,0.0
2022-02-01 02:45:00,99.81682,0.0
2022-02-01 03:00:00,99.92178,0.0
2022-02-01 03:15:00,99.34386,0.0
2022-02-01 03:30:00,99.24867,0.0
2022-02-01 03:45:00,99.8052,0.0
2022-02-01 04:00:00,99.81158,0.0
2022-02-01 04:15:00,99.82488,0.0
2022-02-01 04:30:00,99.83387,0.0
2022-02-01 04:45:00,99.11523,0.0
2022-02-01 05:00:00,97.70522,0.0
2022-02-01 05:15:00,94.56007,0.0
2022-02-01 05:30:00,92.02157,0.0
2022-02-01 05:45:00,90.2705,0.0
2022-02-01 06:00:00,87.59114,0.0
2022-02-01 06:15:00,85.38515,0.0
2022-02-01 06:30:00,83.48417,0.0
2022-02-01 06:45:00,82.19278,0.0
2022-02-01 07:00:00,80.24899,0.0
2022-02-01 07:15:00,78.93566,0.0
2022-02-01 07:30:00,79.32497,0.0
2022-02-01 07:45:00,76.90305,0.0
2022-02-01 08:00:00,76.30825,0.0
2022-02-01 08:15:00,72.12582,0.0
2022-02-01 08:30:00,70.08237,0.0
2022-02-01 08:45:00,70.55936,0.0
2022-02-01 09:00:00,69.44978,0.0
2022-02-01 09:15:00,66.51877,0.0
2022-02-01 09:30:00,64.89722,0.0
2022-02-01 09:45:00,64.00724,0.0
2022-02-01 10:00:00,63.88345,0.0
